Date,Open,High,Low,Close,Volume,Adj. Close*
12-Aug-05,15459.17,15480.80,15398.30,15450.95,412005600,15450.95
11-Aug-05,15432.74,15477.14,15330.95,15445.20,615163008,15445.20
10-Aug-05,15113.86,15346.41,15095.96,15346.41,479409984,15346.41
9-Aug-05,15137.64,15161.79,15029.39,15047.84,339751008,15047.84
8-Aug-05,15033.98,15117.91,15024.54,15108.94,226935808,15108.94
5-Aug-05,15054.63,15083.51,14972.52,15051.32,342387392,15051.32
4-Aug-05,15101.60,15186.11,15076.45,15111.54,412126592,15111.54
3-Aug-05,15197.06,15201.82,15035.37,15118.50,537270016,15118.50
2-Aug-05,15068.22,15167.72,15046.84,15137.08,555043392,15137.08
1-Aug-05,14892.73,14989.47,14841.12,14978.88,331918208,14978.88
29-Jul-05,14863.51,14892.29,14838.16,14880.98,412972800,14880.98
28-Jul-05,14836.30,14899.71,14771.16,14813.32,352640800,14813.32
27-Jul-05,14786.95,14828.02,14743.69,14801.86,374516000,14801.86
26-Jul-05,14818.79,14840.44,14744.39,14769.93,289148416,14769.93
25-Jul-05,14794.93,14841.58,14768.78,14794.03,388280000,14794.03
22-Jul-05,14744.52,14800.31,14655.44,14786.46,593107968,14786.46
21-Jul-05,14660.76,14691.74,14560.46,14620.14,404304992,14620.14
20-Jul-05,14584.06,14673.83,14567.02,14602.70,428144000,14602.70
19-Jul-05,14493.27,14625.08,14493.27,14567.74,454201216,14567.74
18-Jul-05,14496.55,14578.69,14487.87,14567.00,325610592,14567.00
15-Jul-05,14489.84,14550.17,14444.58,14504.29,658528384,14504.29
14-Jul-05,14389.37,14497.43,14389.37,14491.54,616934784,14491.54
13-Jul-05,14170.31,14308.37,14140.40,14307.30,378495392,14307.30
12-Jul-05,14214.88,14215.48,14094.70,14146.95,332181184,14146.95
11-Jul-05,14065.34,14157.24,14047.01,14157.24,338976192,14157.24
8-Jul-05,14014.80,14053.21,13920.87,13964.47,340660992,13964.47
7-Jul-05,14146.24,14156.92,14006.75,14030.81,482251200,14030.81
6-Jul-05,14170.71,14202.09,14126.86,14149.93,427336800,14149.93
5-Jul-05,14146.44,14161.00,14101.56,14124.80,333218816,14124.80
4-Jul-05,14188.35,14188.47,14122.97,14177.87,362865792,14177.87
30-Jun-05,14281.47,14310.77,14154.70,14201.06,406370816,14201.06
29-Jun-05,14313.99,14365.05,14247.04,14277.28,543705024,14277.28
28-Jun-05,14206.81,14287.44,14174.79,14287.44,602401600,14287.44
27-Jun-05,14142.49,14202.98,14142.14,14176.04,319765792,14176.04
24-Jun-05,14141.66,14230.29,14108.39,14230.29,536796416,14230.29
23-Jun-05,14197.01,14233.81,14157.01,14190.44,543943424,14190.44
22-Jun-05,13995.64,14183.39,13995.64,14161.02,666237824,14161.02
21-Jun-05,13935.29,13983.48,13890.78,13979.35,276460416,13979.35
20-Jun-05,13928.71,13966.91,13908.70,13945.77,246064192,13945.77
17-Jun-05,13866.79,13926.59,13847.50,13912.03,412312000,13912.03
16-Jun-05,13909.75,13909.75,13801.42,13833.53,258611600,13833.53
15-Jun-05,13932.85,13953.03,13870.23,13914.30,284969408,13914.30
14-Jun-05,13954.74,13999.06,13901.49,13904.81,299700608,13904.81
13-Jun-05,13948.42,13978.64,13898.46,13952.02,209902000,13952.02
10-Jun-05,13927.01,13972.71,13916.86,13934.76,326592000,13934.76
9-Jun-05,13884.22,13984.34,13876.58,13898.31,419254400,13898.31
8-Jun-05,13868.14,13938.79,13842.01,13898.55,421819808,13898.55
7-Jun-05,13806.00,13846.30,13800.09,13837.29,258052800,13837.29
6-Jun-05,13768.03,13862.62,13745.68,13860.55,265783808,13860.55
3-Jun-05,13821.95,13870.49,13792.65,13818.45,297765184,13818.45
2-Jun-05,13942.96,13946.01,13779.80,13814.58,325242400,13814.58
1-Jun-05,13817.27,13895.33,13813.69,13873.07,302359392,13873.07
31-May-05,13815.73,13932.92,13779.80,13867.07,348640192,13867.07
30-May-05,13741.28,13851.33,13684.52,13845.10,255851008,13845.10
27-May-05,13671.64,13739.20,13669.20,13714.78,218391008,13714.78
26-May-05,13569.26,13590.61,13541.77,13569.99,182625600,13569.99
25-May-05,13715.09,13717.07,13542.48,13562.06,294308800,13562.06
24-May-05,13703.14,13726.15,13677.34,13719.32,158187200,13719.32
23-May-05,13730.09,13730.09,13632.23,13699.13,163988800,13699.13
20-May-05,13715.65,13723.82,13642.84,13717.42,201016800,13717.42
19-May-05,13676.87,13747.97,13645.08,13698.93,253528608,13698.93
18-May-05,13648.26,13668.43,13590.05,13627.01,271572416,13627.01
17-May-05,13861.60,13863.16,13626.64,13667.03,401396192,13667.03
13-May-05,13907.16,13921.42,13841.86,13866.81,223792608,13866.81
12-May-05,13968.95,13984.35,13928.07,13968.28,194130592,13968.28
11-May-05,13959.29,13973.62,13895.27,13939.80,206986592,13939.80
